corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs
cnc,train_1010_10010,10010,0,cnc_train_110_1010_10010_10,"'The increase in tuition fees and lack of financial aid options resulted in students organizing a demonstration on campus , demanding affordable education and more scholarships.'","'The increase in tuition fees and lack of financial aid options <ARG1>resulted in students organizing a demonstration on campus</ARG1> , <ARG0>demanding affordable education and more scholarships</ARG0>.'",1
cnc,train_1011_10011,10011,0,cnc_train_111_1011_10011_10,Heavy rainfall causes severe flooding in the city,<SIG0>Heavy rainfall</SIG0> <ARG1>causes severe flooding</ARG1> <ARG0>in the city</ARG0>,1
cnc,train_1012_10012,10012,0,cnc_train_112_1012_10012_10,"""The heavy rain caused widespread flooding in the city resulting in numerous road closures and property damage.""","""<ARG1>The heavy rain caused widespread flooding in the city</ARG1> <ARG0><SIG0>resulting in numerous road closures and property damage</SIG0>.</ARG0>""",1
cnc,train_1013_10013,10013,0,cnc_train_113_1013_10013_10,"'After receiving multiple complaints about the quality of their products, the company decided to conduct a thorough investigation in order to identify any potential issues and improve customer satisfaction.'","'After receiving multiple complaints about the quality of their products, the company decided <ARG1>to conduct a thorough investigation</ARG1> <ARG0><SIG0>in order to</SIG0> identify any potential issues and improve customer satisfaction</ARG0>.'",1
cnc,train_1014_10014,10014,0,cnc_train_114_1014_10014_10,"""We are implementing new safety measures to ensure the well-being of our employees,"" the CEO stated, emphasizing that these measures are essential to create a secure working environment.","""We are implementing new safety measures to ensure the well-being of our employees,"" the CEO stated, emphasizing that <ARG0><SIG0>these measures are essential</SIG0></ARG0> <ARG1>to create a secure working environment</ARG1>.",1
cnc,train_1015_10015,10015,0,cnc_train_115_1015_10015_10,The company's CEO resigned unexpectedly raising concerns among investors.',<ARG1>The company's CEO resigned unexpectedly</ARG1> <ARG0><SIG0>raising concerns among investors</SIG0></ARG0>.',1
cnc,train_1016_10016,10016,0,cnc_train_116_1016_10016_10,'The car swerved off the road due to the driver losing control of the steering wheel.','<ARG1>The car swerved off the road</ARG1> <SIG0>due to</SIG0> <ARG0>the driver losing control of the steering wheel</ARG0>.',1
cnc,train_1017_10017,10017,0,cnc_train_117_1017_10017_10,'The protest escalated due to the government's new policies.','<ARG1>The protest escalated</ARG1> <SIG0>due to</SIG0> <ARG0>the government's new policies</ARG0>.',1
cnc,train_1018_10018,10018,0,cnc_train_118_1018_10018_10,"'After completing her medical degree,  Dr. Smith opened her own practice.'","'<ARG1>After completing her medical degree, </ARG1> <SIG0>Dr. Smith </SIG0><ARG0>opened her own practice</ARG0>.'",1
cnc,train_1019_10019,10019,0,cnc_train_119_1019_10019_10,"'When the weather turned bad, flights were cancelled leading to frustrated passengers waiting at the airport.'","'When the weather turned bad, <ARG1>flights were cancelled</ARG1> <SIG0>leading to</SIG0> <ARG0>frustrated passengers waiting at the airport</ARG0>.'",1
cnc,train_1020_10020,10020,0,cnc_train_120_1020_10020_10,"'She missed her flight due to traffic congestion , therefore she had to reschedule her meeting , delaying the project further.'","'<ARG0>She missed her flight due to traffic congestion</ARG0> , <SIG0>therefore</SIG0> <ARG1>she had to reschedule her meeting</ARG1> , delaying the project further.'",1
cnc,train_1021_10021,10021,0,cnc_train_121_1021_10021_10,'The company has announced a price increase due to rising production costs .','<ARG1>The company has announced a price increase</ARG1> <SIG0>due to</SIG0> <ARG0>rising production costs</ARG0> .',1
cnc,train_1022_10022,10022,0,cnc_train_122_1022_10022_10,'The lack of rainfall has resulted in crops withering and dying due to the extreme drought.,'The lack of rainfall has resulted in <ARG1>crops withering and dying</ARG1> <ARG0><SIG0>due to the extreme drought</SIG0>.,1
cnc,train_1023_10023,10023,0,cnc_train_123_1023_10023_10,"During a heated argument last night, John slammed the door in anger causing his neighbors to call the police.","During a heated argument last night, <ARG0>John slammed the door in anger</ARG0> <SIG0>causing</SIG0> <ARG1>his neighbors to call the police</ARG1>.",1
cnc,train_1024_10024,10024,0,cnc_train_124_1024_10024_10,'The recent increase in car accidents has led to a rise in insurance premiums.','<ARG0>The recent increase in car accidents</ARG0> <SIG0>has led to</SIG0> <ARG1>a rise in insurance premiums</ARG1>.',1
cnc,train_1025_10025,10025,0,cnc_train_125_1025_10025_10,"While global warming continues to worsen , resulting in more frequent and intense natural disasters such as hurricanes and wildfires .","While <ARG0>global warming continues to worsen</ARG0> , <SIG0>resulting in</SIG0> <ARG1>more frequent and intense natural disasters such as hurricanes and wildfires</ARG1> .",1
cnc,train_1026_10026,10026,0,cnc_train_126_1026_10026_10,"'12th December 2017 10:32 AM WASHINGTON : The United States government explained to China on Tuesday that it acknowledged the progress made by Beijing in reducing carbon emissions and promoting clean energy in order to combat climate change, but more efforts were required to achieve the goals set under the Paris Agreement.'","'12th December 2017 10:32 AM WASHINGTON : The United States government explained to China on Tuesday that it acknowledged <ARG1>the progress made by Beijing in reducing carbon emissions and promoting clean energy</ARG1> <ARG0><SIG0>in order to combat climate change</SIG0>, but more efforts were required to achieve the goals set under the Paris Agreement.'",1
cnc,train_1027_10027,10027,0,cnc_train_127_1027_10027_10,'The heavy rainfall caused flooding in the low-lying areas .','<ARG1>The heavy rainfall caused flooding</ARG1> <SIG0>in</SIG0> <ARG0>the low-lying areas</ARG0> .',1
cnc,train_1028_10028,10028,0,cnc_train_128_1028_10028_10,"'Due to heavy rainfall and flooding, the school was forced to cancel classes for the day because the classrooms were deemed unsafe for students.'","'<ARG1>Due to heavy rainfall and flooding, the school was forced to cancel classes for the day</ARG1> because <ARG0>the classrooms were deemed unsafe for students</ARG0>.'",1
cnc,train_1029_10029,10029,0,cnc_train_129_1029_10029_10,"""Increased carbon emissions from human activities are contributing to global warming resulting in rising sea levels and extreme weather events.""","""<ARG1>Increased carbon emissions from human activities are contributing to global warming</ARG1> <ARG0><SIG0>resulting</SIG0> in rising sea levels and extreme weather events</ARG0>.""",1
cnc,train_1030_10030,10030,0,cnc_train_130_1030_10030_10,'Upon hearing about the incident from their neighbours a group of concerned citizens organized a protest to demand justice outside the local government office in order to raise awareness about the issue and urge authorities to take action.','Upon hearing about the incident from their neighbours <ARG0>a group of concerned citizens</ARG0> organized a protest to demand justice <ARG1>outside the local government office</ARG1> <SIG0>in order to raise awareness about the issue and urge authorities to take action</SIG0>.',1
cnc,train_1031_10031,10031,0,cnc_train_131_1031_10031_10,'Students protest against the increase in tuition fees leading to a campus-wide demonstration demanding affordable education.','Students protest <SIG0>against the increase in tuition fees</SIG0> <ARG0>leading to</ARG0> a campus-wide demonstration <ARG1>demanding affordable education</ARG1>.',1
cnc,train_1032_10032,10032,0,cnc_train_132_1032_10032_10,"'2 Cars collide at intersection due to driver's failure to yield - Local News Seattle , Tue Mar 10 2020 , 08:12 hrs A driver's failure to yield at an intersection resulted in a collision between two cars.'","'2 Cars collide at intersection due to driver's failure to yield - Local News Seattle , Tue Mar 10 2020 , 08:12 hrs <ARG0>A driver's failure to yield at an intersection</ARG0> <SIG0>resulted in</SIG0> <ARG1>a collision between two cars</ARG1>.'",1
cnc,train_1033_10033,10033,0,cnc_train_133_1033_10033_10,"'According to eyewitnesses, a car crashed into a tree because the driver fell asleep at the wheel resulting in a severe accident.'","'According to eyewitnesses, <ARG1>a car crashed into a tree</ARG1> because <ARG0>the driver fell asleep at the wheel</ARG0> <SIG0>resulting in a severe accident</SIG0>.'",1
cnc,train_1034_10034,10034,0,cnc_train_134_1034_10034_10,'High levels of pollution can lead to respiratory problems and other health issues such as asthma and lung cancer.','<ARG0>High levels of pollution</ARG0> can lead to <ARG1>respiratory problems and other health issues</ARG1> <SIG0>such as asthma and lung cancer</SIG0>.',1
cnc,train_1035_10035,10035,0,cnc_train_135_1035_10035_10,'The heavy rainfall caused severe flooding in the city leading to massive damage to homes and infrastructure.','<ARG1>The heavy rainfall caused severe flooding in the city</ARG1> <SIG0>leading to</SIG0> <ARG0>massive damage to homes and infrastructure</ARG0>.',1
cnc,train_1036_10036,10036,0,cnc_train_136_1036_10036_10,"""The heavy rain caused the flooding in the area , Houses were submerged in water , as a result of the torrential downpour.""","""<ARG0>The heavy rain caused the flooding in the area</ARG0> , <ARG1>Houses were submerged in water</ARG1> , <SIG0>as a result</SIG0> of the torrential downpour.""",1
cnc,train_1037_10037,10037,0,cnc_train_137_1037_10037_10,"'The heavy rainstorm caused widespread flooding in the city and <SIG1>led to</SIG1> road closures and power outages, according to local authorities.'","'<ARG0>The heavy rainstorm</ARG0> <ARG1><SIG0>caused</SIG0> widespread flooding in the city and <SIG1>led to</SIG1> road closures and power outages</ARG1>, according to local authorities.'",1
cnc,train_1038_10038,10038,0,cnc_train_138_1038_10038_10,"'After heavy rain, the ground became saturated causing flooding in several neighborhoods.'","'After heavy rain, <ARG0>the ground became saturated</ARG0> <SIG0>causing <ARG1>flooding</SIG0> in several neighborhoods</ARG1>.'",1
cnc,train_1039_10039,10039,0,cnc_train_139_1039_10039_10,"""We failed to provide proper training, thus the employees made costly mistakes resulting in financial losses for the company,"" explained the manager.","""We failed to provide proper training, <SIG0>thus</SIG0> <ARG0>the employees made costly mistakes</ARG0> <ARG1>resulting in financial losses for the company</ARG1>,"" explained the manager.",1
cnc,train_1040_10040,10040,0,cnc_train_140_1040_10040_10,"The students protested outside the university building , demanding that tuition fees be reduced to make education more affordable .","<ARG1>The students protested outside the university building</ARG1> , <ARG0><SIG0>demanding</SIG0> that tuition fees be reduced to make education more affordable</ARG0> .",1
cnc,train_1041_10041,10041,0,cnc_train_141_1041_10041_10,"Last week, severe weather conditions caused widespread power outages resulting in thousands of homes and businesses losing electricity.","Last week, <ARG1>severe weather conditions caused widespread power outages</ARG1> <SIG0>resulting in</SIG0> <ARG0>thousands of homes and businesses losing electricity</ARG0>.",1
cnc,train_1042_10042,10042,0,cnc_train_142_1042_10042_10,"'\ufeffDue to the rapidly increasing pollution levels in the city, the number of respiratory diseases has significantly risen, resulting in a growing concern among the public about their health.'","'\ufeffDue to the rapidly increasing pollution levels in the city, <ARG1>the number of respiratory diseases has significantly risen</ARG1>, <SIG0>resulting in</SIG0> <ARG0>a growing concern among the public about their health</ARG0>.'",1
cnc,train_1043_10043,10043,0,cnc_train_143_1043_10043_10,"'If the government implements stricter regulations on pollution, environmental sustainability will improve as a result of their actions.'","'If the government implements stricter regulations on pollution, <ARG1>environmental sustainability will improve</ARG1> <SIG0>as a result</SIG0> <ARG0>of their actions</ARG0>.'",1
cnc,train_1044_10044,10044,0,cnc_train_144_1044_10044_10,There were rumors that a new study has shown significant health benefits of daily exercise due to the reduction in risk of heart disease and obesity.,There were rumors that <ARG1>a new study has shown significant health benefits of daily exercise</ARG1> <SIG0>due to <ARG0>the reduction in risk of heart disease and obesity</SIG0>.,1
cnc,train_1045_10045,10045,0,cnc_train_145_1045_10045_10,"'Increased levels of pollution , deforestation and climate change must be addressed to prevent further environmental degradation and protect future generations , environmental activists argued during a recent conference.'","'<ARG1>Increased levels of pollution , deforestation and climate change must be addressed</ARG1> <SIG0>to</SIG0> <ARG0>prevent further environmental degradation</ARG0> and protect future generations , environmental activists argued during a recent conference.'",1
cnc,train_1046_10046,10046,0,cnc_train_146_1046_10046_10,CMP LONDON : The heavy rainfall in the city led to widespread flooding and traffic chaos.,CMP LONDON : <ARG0>The heavy rainfall in the city</ARG0> <ARG1><SIG0>led to</SIG0> widespread flooding and traffic chaos.</ARG1>,1
cnc,train_1047_10047,10047,0,cnc_train_147_1047_10047_10,'Heavy rainfall : Several roads experienced flooding due to the torrential downpour.','Heavy rainfall : <ARG1>Several roads experienced flooding</ARG1> <SIG0>due to</SIG0> <ARG0>the torrential downpour</ARG0>.',1
cnc,train_1048_10048,10048,0,cnc_train_148_1048_10048_10,A marathon runner collapsed due to dehydration during the race  The runner was rushed to the hospital   because he didn't drink enough water before the race.,A marathon runner collapsed due to dehydration during the race <ARG1> The runner <SIG0>was rushed to the hospital </ARG1></SIG0> <ARG0> because he didn't drink enough water before the race.</ARG0>,1
cnc,train_1049_10049,10049,0,cnc_train_149_1049_10049_10,"'Due to the heavy rainfall, the river flooded, resulting in widespread damage to homes and infrastructure.'","'<ARG0>Due to the heavy rainfall</ARG0>, <SIG0>the river flooded</SIG0>, <ARG1>resulting in widespread damage to homes and infrastructure.</ARG1>'",1
cnc,train_1050_10050,10050,0,cnc_train_150_1050_10050_10,"'Protests erupted in the city  after the government announced a sharp increase in fuel prices , leading to widespread unrest among the population.'","'<ARG1>Protests erupted in the city </ARG1> <ARG0><SIG0>after the government announced</SIG0> a sharp increase in fuel prices</ARG0> , leading to widespread unrest among the population.'",1
cnc,train_1051_10051,10051,0,cnc_train_151_1051_10051_10,"'The team won because they practiced hard, ""said the coach.""","'<ARG1>The team won</ARG1> <ARG0><SIG0>because they practiced hard</SIG0></ARG0>, ""said the coach.""",1
cnc,train_1052_10052,10052,0,cnc_train_152_1052_10052_10,'MUMBAI : High pollution levels : residents demand stricter regulations','MUMBAI : <ARG0>High pollution levels</ARG0> : <ARG1>residents demand stricter regulations</ARG1>',1
cnc,train_1053_10053,10053,0,cnc_train_153_1053_10053_10,"""Due to the heavy rainfall in the area multiple roads were flooded, resulting in significant traffic congestion throughout the city.""","""Due to the heavy rainfall in the area <ARG0>multiple roads were flooded</ARG0>, <ARG1>resulting in significant traffic congestion</ARG1> <SIG0>throughout the city</SIG0>.""",1
cnc,train_1054_10054,10054,0,cnc_train_154_1054_10054_10,"'Amidst rising unemployment rates, many individuals are choosing to start their own businesses as a means of creating job opportunities.'","'Amidst rising unemployment rates, <ARG1>many individuals are choosing to start their own businesses</ARG1> <ARG0><SIG0>as a means of creating job opportunities</SIG0>.</ARG0>'",1
cnc,train_1055_10055,10055,0,cnc_train_155_1055_10055_10,"'Although the company followed all safety protocols, there was a major accident at the factory'","'<SIG0>Although</SIG0> <ARG0>the company followed all safety protocols</ARG0>, <ARG1>there was a major accident at the factory</ARG1>'",1
cnc,train_1056_10056,10056,0,cnc_train_156_1056_10056_10,"'As a result of the heavy rain , the streets were flooded.'","'<SIG0>As a result of</SIG0> <ARG0>the heavy rain</ARG0> , <ARG1>the streets were flooded.</ARG1>'",1
cnc,train_1057_10057,10057,0,cnc_train_157_1057_10057_10,'The lack of rain has led to drought conditions in the region.','<ARG0>The lack of rain</ARG0> <SIG0>has led to</SIG0> <ARG1>drought conditions in the region</ARG1>.',1
cnc,train_1058_10058,10058,0,cnc_train_158_1058_10058_10,'( Click here for more information ) The car crashed into a tree because the driver was texting on their phone .','( Click here for more information ) <ARG1>The car crashed into a tree</ARG1> <SIG0>because</SIG0> <ARG0>the driver was texting on their phone</ARG0> .',1
cnc,train_1059_10059,10059,0,cnc_train_159_1059_10059_10,"'December 08 , 2017 00:00 IST Protesters demand stricter laws on gun control A recent mass shooting at a local school has prompted citizens to take to the streets and advocate for stricter gun control measures in order to prevent further incidents of gun violence .'","'December 08 , 2017 00:00 IST Protesters demand stricter laws on gun control A recent mass shooting at a local school <ARG1>has prompted citizens to take to the streets and advocate for stricter gun control measures</ARG1> <ARG0><SIG0>in order to</SIG0> prevent further incidents of gun violence</ARG0> .'",1
cnc,train_1060_10060,10060,0,cnc_train_160_1060_10060_10,"'MUMBAI Water shortage worsens , residents protest against BMC'","'MUMBAI <ARG1>Water shortage worsens</ARG1> , <ARG0>residents protest against BMC</ARG0>'",1
cnc,train_1061_10061,10061,0,cnc_train_161_1061_10061_10,"'The students also threatened to boycott all classes if unless the university increased funding for research, they would petition for better resources and organize protests.'","'The students also threatened to boycott all classes if <SIG0>unless</SIG0> <ARG0>the university increased funding for research</ARG0>, <ARG1>they would petition for better resources and organize protests</ARG1>.'",1
cnc,train_1062_10062,10062,0,cnc_train_162_1062_10062_10,The increase in pollution levels has led to a rise in respiratory diseases among the population.,<ARG0>The increase in pollution levels</ARG0> <SIG0>has led to</SIG0> <ARG1>a rise in respiratory diseases among the population.,1
cnc,train_1063_10063,10063,0,cnc_train_163_1063_10063_10,Heavy rainfall and strong winds caused extensive damage to the coastal regions.,<ARG0>Heavy rainfall and strong winds</ARG0> <SIG0>caused extensive damage</SIG0> <ARG1>to the coastal regions</ARG1>.,1
cnc,train_1064_10064,10064,0,cnc_train_164_1064_10064_10,"""According to the latest reports, due to heavy rainfall, several houses were flooded and many residents had to evacuate their homes.""","""According to the latest reports, <ARG0>due to heavy rainfall, several houses were flooded</ARG0> and <ARG1>many residents had to evacuate their homes</ARG1>.""",1
cnc,train_1065_10065,10065,0,cnc_train_165_1065_10065_10,'The increase in air pollution has led to an increase in respiratory illnesses among the local population.','<ARG0>The increase in air pollution</ARG0> <SIG0>has led to an increase in respiratory illnesses</SIG0> <ARG1>among the local population</ARG1>.',1
cnc,train_1066_10066,10066,0,cnc_train_166_1066_10066_10,'UNEMPLOYMENT Rising protests by jobless youth: Demonstrations and protests organized by unemployed young individuals have been increasing rapidly in recent months due to the lack of job opportunities and government support.','UNEMPLOYMENT Rising protests by jobless youth: <ARG1>Demonstrations and protests organized by unemployed young individuals have been increasing rapidly in recent months</ARG1> <ARG0><SIG0>due to the lack of job opportunities and government support</SIG0></ARG0>.',1
cnc,train_1067_10067,10067,0,cnc_train_167_1067_10067_10,'The students boycotted classes in protest of the new school policies demanding a revision of the rules and <SIG1>calling for</SIG1> greater student input in decision-making.','<ARG1>The students boycotted classes in protest of the new school policies</ARG1> <ARG0><SIG0>demanding</SIG0> a revision of the rules and <SIG1>calling for</SIG1> greater student input in decision-making</ARG0>.',1
cnc,train_1068_10068,10068,0,cnc_train_168_1068_10068_10,The price of oil soared on Monday when a major oil-producing country experienced a supply disruption .',<ARG1>The price of oil soared on Monday</ARG1> when <ARG0>a major oil-producing country experienced a supply disruption</ARG0> .',1
cnc,train_1069_10069,10069,0,cnc_train_169_1069_10069_10,"""`` The new policies have been implemented <SIG1>in order</SIG1> to improve employee satisfaction and to enhance productivity , '' the manager explained .""","""`` <ARG1>The new policies have been implemented</ARG1> <ARG0><SIG1>in order</SIG1> to improve employee satisfaction and <SIG0>to enhance productivity</ARG0> , '' the manager explained .""",1
cnc,train_1070_10070,10070,0,cnc_train_170_1070_10070_10,'The students were organizing a strike because of the increase in tuition fees.','<ARG1>The students were organizing a strike</ARG1> <SIG0>because of</SIG0> <ARG0>the increase in tuition fees</ARG0>.',1
cnc,train_1071_10071,10071,0,cnc_train_171_1071_10071_10,'Sara argued their team lost the game because they lacked proper coordination and strategy.','Sara argued <ARG1>their team lost the game</ARG1> <SIG0>because</SIG0> <ARG0>they lacked proper coordination and strategy</ARG0>.',1
cnc,train_1072_10072,10072,0,cnc_train_172_1072_10072_10,'The heavy rain caused widespread flooding in the city.','<ARG0>The heavy rain</ARG0> <SIG0>caused</SIG0> <ARG1>widespread flooding</ARG1> in the city.',1
cnc,train_1073_10073,10073,0,cnc_train_173_1073_10073_10,'Increase in greenhouse gas emissions has led to a rise in global temperatures and climate change  which has caused extreme weather events and sea level rise leading to devastating impacts on ecosystems and human communities.','Increase in greenhouse gas emissions <ARG0>has led to a rise in global temperatures and climate change </ARG0> <ARG1>which has caused extreme weather events and sea level rise</ARG1> <SIG0>leading to devastating impacts on ecosystems and human communities</SIG0>.',1
cnc,train_1074_10074,10074,0,cnc_train_174_1074_10074_10,'Protestors gathered outside the government building as they demanded changes to the current policy because the lack of action had sparked outrage among the citizens.','Protestors gathered outside the government building <ARG1>as they demanded changes to the current policy</ARG1> <SIG0>because</SIG0> <ARG0>the lack of action had sparked outrage among the citizens</ARG0>.',1
cnc,train_1075_10075,10075,0,cnc_train_175_1075_10075_10,"'She ate a peanut butter sandwich , resulting in a severe allergic reaction.'","'<ARG1>She ate a peanut butter sandwich</ARG1> , <ARG0><SIG0>resulting in</SIG0> a severe allergic reaction</ARG0>.'",1
cnc,train_1076_10076,10076,0,cnc_train_176_1076_10076_10,"""Protests erupt outside parliament as lawmakers voted in favor of a controversial new law triggering public anger and frustration over government actions.""","""Protests erupt outside parliament <ARG1>as lawmakers voted in favor of a controversial new law <SIG0>triggering public anger and frustration <ARG0>over government actions</SIG0>.""",1
cnc,train_1077_10077,10077,0,cnc_train_177_1077_10077_10,"'The heavy rainfall caused widespread flooding in the city , resulting in the closure of several roads.'","'The heavy rainfall caused <ARG0>widespread flooding in the city</ARG0> , <ARG1><SIG0>resulting in the closure of several roads</SIG0></ARG1>.'",1
cnc,train_1078_10078,10078,0,cnc_train_178_1078_10078_10,'The team lost the game because they didn't practice enough.','<ARG1>The team lost the game</ARG1> <SIG0>because</SIG0> <ARG0>they didn't practice enough</ARG0>.',1
cnc,train_1079_10079,10079,0,cnc_train_179_1079_10079_10,"'Students rally for better education facilities 17th June 2019 10:32 AM NEW YORK: Monday would witness a massive protest by students, demanding better education facilities due to the lack of funding in public schools.","'Students rally for better education facilities 17th June 2019 10:32 AM NEW YORK: Monday would witness a massive protest by <ARG1>students, demanding better education facilities</ARG1> <ARG0>due to the lack of funding in public schools</ARG0>.",1
cnc,train_1080_10080,10080,0,cnc_train_180_1080_10080_10,'The heavy rain and flooding resulted in the cancellation of the outdoor concert..','<ARG0>The heavy rain and flooding</ARG0> <SIG0>resulted in</SIG0> <ARG1>the cancellation of the outdoor concert.</ARG1>.',1
cnc,train_1081_10081,10081,0,cnc_train_181_1081_10081_10,"'March 5th, 2022 10:30 AM: Protesters took to the streets demanding action against deforestation in response to the government's lack of environmental policies.'","'March 5th, 2022 10:30 AM: <ARG0>Protesters took to the streets</ARG0> <ARG1>demanding action against deforestation </ARG1><SIG0>in response to the government's lack of environmental policies</SIG0>.'",1
cnc,train_1082_10082,10082,0,cnc_train_182_1082_10082_10,'The heavy rainfall caused severe flooding in the city resulting in significant damage to homes and infrastructure.','<ARG1>The heavy rainfall caused severe flooding in the city</ARG1> <ARG0><SIG0>resulting in</SIG0> significant damage to homes and infrastructure</ARG0>.',1
cnc,train_1083_10083,10083,0,cnc_train_183_1083_10083_10,"'On a rainy day, his forgotten umbrella led to him getting soaked to the bone with no protection from the downpour.'","'On a rainy day, <ARG0>his forgotten umbrella</ARG0> <SIG0>led to</SIG0> <ARG1>him getting soaked to the bone</ARG1> with no protection from the downpour.'",1
cnc,train_1084_10084,10084,0,cnc_train_184_1084_10084_10,"'Blaming the lack of funding for research and development , she argued that it has hindered innovation and scientific progress in the country.","'<ARG1>Blaming the lack of funding for research and development</ARG1> , <ARG0>she <SIG0>argued</SIG0> that it has hindered innovation and scientific progress in the country.</ARG0>",1
cnc,train_1085_10085,10085,0,cnc_train_185_1085_10085_10,Many people experienced health issues after they consumed contaminated food during the picnic.',<ARG1>Many people experienced health issues</ARG1> after <ARG0>they consumed contaminated food</ARG0> during the picnic.',1
cnc,train_1086_10086,10086,0,cnc_train_186_1086_10086_10,'The company's profits increased after they implemented a new marketing strategy.','<ARG1>The company's profits increased</ARG1> after <ARG0>they implemented a new marketing strategy</ARG0>.',1
cnc,train_1087_10087,10087,0,cnc_train_187_1087_10087_10,"'The tree fell down during the storm , due to strong winds blowing outside .'","'<ARG1>The tree fell down during the storm</ARG1> , <ARG0>due to strong winds <SIG0>blowing</SIG0> outside</ARG0> .'",1
cnc,train_1088_10088,10088,0,cnc_train_188_1088_10088_10,"Because of the heavy rainfall last night, the park was flooded this morning and all the scheduled activities had to be canceled.","<SIG0>Because of the heavy rainfall last night</SIG0>, <ARG0>the park was flooded this morning</ARG0> and <ARG1>all the scheduled activities had to be canceled</ARG1>.",1
cnc,train_1089_10089,10089,0,cnc_train_189_1089_10089_10,'Several parents organized a protest  to demand safer playground equipment .','<ARG1>Several parents organized a protest </ARG1> <ARG0><SIG0>to</SIG0> demand safer playground equipment </ARG0>.',1
cnc,train_1090_10090,10090,0,cnc_train_190_1090_10090_10,"'NEW YORK: Stock market plunges, investors panic, global economy in jeopardy After a major recession hit the housing market, financial instability spread like wildfire, causing the stock market to plunge and investors to panic, ultimately putting the global economy in jeopardy.'","'NEW YORK: Stock market plunges, investors panic, global economy in jeopardy <SIG0>After</SIG0> <ARG0>a major recession hit the housing market</ARG0>, <ARG1>financial instability spread like wildfire, causing the stock market to plunge and investors to panic, ultimately putting the global economy in jeopardy</ARG1>.'",1
cnc,train_1091_10091,10091,0,cnc_train_191_1091_10091_10,'The new law led to a decrease in crime rates in the city.','<ARG0>The new law</ARG0> <SIG0>led to</SIG0> <ARG1>a decrease in crime rates in the city</ARG1>.',1
cnc,train_1092_10092,10092,0,cnc_train_192_1092_10092_10,"""The President announced a new economic policy after he received feedback from his advisors.""","""The President announced <ARG1>a new economic policy</ARG1> <SIG0>after</SIG0> <ARG0>he received feedback from his advisors</ARG0>.""",1
cnc,train_1093_10093,10093,0,cnc_train_193_1093_10093_10,'A heavy rainstorm caused flooding in the city resulting in widespread damage to homes and infrastructure.','<ARG0>A heavy rainstorm</ARG0> <SIG0>caused flooding in the city</SIG0> <ARG1>resulting in widespread damage to homes and infrastructure</ARG1>.',1
